experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff,n_scenarios
stage_a_uci_v2,sar_complete,optimizer_aux,4,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters,0,17,uci_internal_fixed,0.0,0.8583984375,0.8583984375,0.0,0.0,0.00015815062040872032,4.060029987073936e-05,0.0,2
stage_a_uci_v2,sar_complete,parameters,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,-4.94361460767756e-06,-1.035518472081165e-06,0.0,2
stage_a_uci_v2,sar_complete,parameters,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters,4,17,uci_internal_fixed,0.0009765625,0.8583984375,0.859375,0.0009765625,0.0009765625,-8.762015332635e-05,-1.48431672402638e-05,0.0,2
stage_a_uci_v2,sar_complete,parameters,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_aux,0,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_aux,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_aux,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_aux,4,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_aux,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_aux,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,17,uci_internal_fixed,0.0,0.8583984375,0.8583984375,0.0,0.0,0.00015809130229385237,4.0564658124471464e-05,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,-4.94361460767756e-06,-1.035518472081165e-06,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
