experiment_id,seed,panel_id,scenario,washout_batches,direction,method,intervention,accuracy_change,nll_change,brier_change,ece15_change,error_change
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,parameters_aux,-0.00390625,0.0011920248611811957,0.00040621758415704257,-0.0007733226670114113,0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,optimizer_aux,0.0,0.00029997741047804727,0.00011324807645468615,-4.0809995548313216e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,optimizer_aux,0.0,0.00032585678782237615,0.0001326834783432207,-5.2160932079409195e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,parameters_optimizer_aux,-0.00390625,0.0015535250445728455,0.0005605269452507722,-0.0008662698855300133,0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,parameters_optimizer_aux,-0.00390625,0.001517341093052016,0.0005397528900550896,-0.0008541794083024024,0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,all,-0.00390625,0.0015535250445728455,0.0005605269452507722,-0.0008662698855300133,0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,all,-0.00390625,0.001517341093052016,0.0005397528900550896,-0.0008541794083024024,0.00390625
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,parameters,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,parameters,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,optimizer,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,optimizer,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,parameters_optimizer,0.0,0.0,0.0,0.0,-0.0
