experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v2,norm,all,0,ab,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.059480566664812266,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,norm,all,0,ba,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.05860381666813428,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,norm,all,4,ab,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.06366720000126706,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,norm,all,4,ba,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.06602003333440125,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,norm,none,0,ab,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.06094839999665657,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,norm,none,0,ba,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.06078448333573757,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,norm,none,4,ab,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.060616650000156314,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,norm,none,4,ba,uci_internal_fixed,0.861328125,0.51379354555466,0.21413016188688805,0.07924768291116553,0.060980983328287615,0.0,0.0,0.0,3,2,2
stage_a_uci_v2,sar_complete,all,0,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.2218297833339117,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,all,0,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.21988063333265015,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,all,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.207379633335222,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,all,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.19969678333533614,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5136911208914686,0.21403761550077616,0.07898263321143657,0.2865196000008533,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5136918991569656,0.21403775275629702,0.07898188026443755,0.21630903333182983,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.2087808000020838,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.23172958333210167,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,none,0,ab,uci_internal_fixed,0.861328125,0.5138863357021054,0.21414417125556526,0.07925299168666443,0.2002287333331575,16.0,0.0,12.833333333333334,3,2,2
stage_a_uci_v2,sar_complete,none,0,ba,uci_internal_fixed,0.861328125,0.5138358542693372,0.21413102141123852,0.0792531270536798,0.20867161666925915,16.0,0.0,12.333333333333334,3,2,2
stage_a_uci_v2,sar_complete,none,4,ab,uci_internal_fixed,0.861328125,0.5141057965680674,0.21417164845120007,0.07928688614591352,0.20549475000249606,16.0,0.0,10.166666666666666,3,2,2
stage_a_uci_v2,sar_complete,none,4,ba,uci_internal_fixed,0.8616536458333334,0.5141350032858429,0.2141765961736135,0.07896337537981624,0.20517908333325366,16.0,0.0,10.0,3,2,2
stage_a_uci_v2,sar_complete,optimizer,0,ab,uci_internal_fixed,0.861328125,0.5138863386224921,0.21414417126145927,0.07925298877045095,0.2259194000022641,16.0,0.0,12.833333333333334,3,2,2
stage_a_uci_v2,sar_complete,optimizer,0,ba,uci_internal_fixed,0.861328125,0.5138358755361777,0.214131032451684,0.07925311549218288,0.22979956666677026,16.0,0.0,12.333333333333334,3,2,2
stage_a_uci_v2,sar_complete,optimizer,4,ab,uci_internal_fixed,0.861328125,0.5141057965680674,0.21417164845120007,0.07928688614591352,0.22874101666820926,16.0,0.0,10.166666666666666,3,2,2
stage_a_uci_v2,sar_complete,optimizer,4,ba,uci_internal_fixed,0.8616536458333334,0.5141350032858429,0.2141765961736135,0.07896337537981624,0.2175190999987535,16.0,0.0,10.0,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5136911208914686,0.21403761550077616,0.07898263321143657,0.21236051666589142,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5136918991569656,0.21403775275629702,0.07898188026443755,0.22298455000175935,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.24063780000142287,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.1935158000002654,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,parameters,0,ab,uci_internal_fixed,0.861328125,0.5138873977194044,0.21414441399914164,0.07925201735986052,0.21786438332977318,16.0,0.0,12.833333333333334,3,2,2
stage_a_uci_v2,sar_complete,parameters,0,ba,uci_internal_fixed,0.861328125,0.5138363287174706,0.2141312257386754,0.07925276788446722,0.21494396666579027,16.0,0.0,12.333333333333334,3,2,2
stage_a_uci_v2,sar_complete,parameters,4,ab,uci_internal_fixed,0.861328125,0.5141057965680674,0.21417164845120007,0.07928688614591352,0.22599078333102318,16.0,0.0,10.166666666666666,3,2,2
stage_a_uci_v2,sar_complete,parameters,4,ba,uci_internal_fixed,0.8616536458333334,0.5141350032858429,0.2141765961736135,0.07896337537981624,0.254651350005588,16.0,0.0,10.0,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.21289105000081077,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.2211948666639121,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.22952589999961978,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.2343990000008489,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,ab,uci_internal_fixed,0.861328125,0.5138874008871673,0.21414441401160808,0.07925201419837379,0.22188090000175476,16.0,0.0,12.833333333333334,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer,0,ba,uci_internal_fixed,0.861328125,0.5138363516579386,0.21413123763172395,0.07925275504696892,0.29936818333226256,16.0,0.0,12.333333333333334,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,ab,uci_internal_fixed,0.861328125,0.5141057965680674,0.21417164845120007,0.07928688614591352,0.22605118333255328,16.0,0.0,10.166666666666666,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,ba,uci_internal_fixed,0.8616536458333334,0.5141350032858429,0.2141765961736135,0.07896337537981624,0.23181801666699656,16.0,0.0,10.0,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.20493660000162583,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.2038256999973479,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.1960873499968632,16.0,0.0,8.5,3,2,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.21211941666600373,16.0,0.0,8.5,3,2,2
