experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy_change,error_change,nll_change,brier_change,ece15_change,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v2,norm,all,0,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03808533279304773,-0.058723550560806866,0.002173093594947074,3,2,2
stage_a_uci_v2,norm,all,0,ba,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03808533279304773,-0.058723550560806866,0.002173093594947074,3,2,2
stage_a_uci_v2,norm,all,4,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03808533279304773,-0.058723550560806866,0.002173093594947074,3,2,2
stage_a_uci_v2,norm,all,4,ba,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03808533279304773,-0.058723550560806866,0.002173093594947074,3,2,2
stage_a_uci_v2,norm,none,0,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03808533279304773,-0.058723550560806866,0.002173093594947074,3,2,2
stage_a_uci_v2,norm,none,0,ba,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03808533279304773,-0.058723550560806866,0.002173093594947074,3,2,2
stage_a_uci_v2,norm,none,4,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03808533279304773,-0.058723550560806866,0.002173093594947074,3,2,2
stage_a_uci_v2,norm,none,4,ba,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03808533279304773,-0.058723550560806866,0.002173093594947074,3,2,2
stage_a_uci_v2,sar_complete,all,0,ab,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,all,0,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,all,4,ab,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,all,4,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,aux,0,ab,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038187757456239,-0.05881609694691877,0.0019080438952181016,3,2,2
stage_a_uci_v2,sar_complete,aux,0,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.03818697919074202,-0.05881595969139786,0.0019072909482190832,3,2,2
stage_a_uci_v2,sar_complete,aux,4,ab,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,aux,4,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,none,0,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.037992542645602236,-0.05870954119212967,0.0021784023704459663,3,2,2
stage_a_uci_v2,sar_complete,none,0,ba,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03804302407837043,-0.05872269103645639,0.002178537737461327,3,2,2
stage_a_uci_v2,sar_complete,none,4,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03777308177964017,-0.05868206399649482,0.0022122968296950513,3,2,2
stage_a_uci_v2,sar_complete,none,4,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.03774387506186472,-0.05867711627408139,0.0018887860635977693,3,2,2
stage_a_uci_v2,sar_complete,optimizer,0,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03799253972521555,-0.058709541186235635,0.0021783994542324825,3,2,2
stage_a_uci_v2,sar_complete,optimizer,0,ba,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.038043002811529864,-0.058722679996010885,0.00217852617596441,3,2,2
stage_a_uci_v2,sar_complete,optimizer,4,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03777308177964017,-0.05868206399649482,0.0022122968296950513,3,2,2
