seed,epoch,train_loss,dev_accuracy,seconds
17,1,0.7938042124733329,0.9427083134651184,0.2918179999978747
17,2,0.0909719995688647,0.953125,0.2918358000024454
17,3,0.0520553360693156,0.9557291865348816,0.2591312000004109
17,4,0.0567438784637488,0.9453125,0.2528390999941621
17,5,0.0307361211744137,0.9609375,0.3042983999912394
17,6,0.0167840714711928,0.9713541865348816,0.3157402000069851
17,7,0.0091746661419165,0.9791666865348816,0.3710883000021567
17,8,0.0044412169409042,0.984375,0.3264936000050511
17,9,0.0042080600069311,0.9817708134651184,0.3246514000056777
17,10,0.0042446050601938,0.9791666865348816,0.2728900999936741
17,11,0.0019648928573587,0.9817708134651184,0.2434978999954182
17,12,0.0016243659665633,0.9817708134651184,0.2496448000019882
29,1,0.7286669590976089,0.9505208134651184,0.4510584999952698
29,2,0.1173645568196661,0.9609375,0.347729100001743
29,3,0.0522892128501553,0.9661458134651184,0.3569723999971756
29,4,0.0403905108396429,0.9765625,0.410228000007919
29,5,0.0298728972484241,0.953125,0.3791055000037886
29,6,0.01778722977906,0.96875,0.3731092999951215
29,7,0.0060437342144723,0.9791666865348816,0.3969802000065101
29,8,0.0062781523265584,0.96875,0.3610403999919072
29,9,0.0032338904493371,0.9765625,0.3821599999937461
29,10,0.0016625595517325,0.9739583134651184,0.3873397999996086
29,11,0.0012908741036881,0.9765625,0.4408256000024266
29,12,0.0011376877973816,0.9765625,0.3666497999947751
43,1,0.761130356695503,0.9453125,0.3057624999928521
43,2,0.1006927269045263,0.96875,0.2625767999998061
43,3,0.0480905389704275,0.9609375,0.2758271000056993
43,4,0.0337622067600023,0.9635416865348816,0.3006292000063695
43,5,0.0193891697999788,0.9713541865348816,0.2596456999890506
43,6,0.0119881082719075,0.9765625,0.2656156999873929
43,7,0.010412596479,0.96875,0.2622402999986661
43,8,0.0068424867349676,0.9791666865348816,0.3003742000000784
43,9,0.01119036995442,0.9765625,0.277423199993791
43,10,0.0041092248247878,0.984375,0.3407541000051424
43,11,0.0020905726241835,0.984375,0.4720820999937132
43,12,0.0010333278987673,0.9817708134651184,0.3780792000034125
