experiment_id,seed,panel_id,scenario,method,intervention,washout_batches,n,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,source,none,0,512,0.0,0.75390625,0.75390625,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,source,all,0,512,0.0,0.75390625,0.75390625,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,source,none,4,512,0.0,0.75390625,0.75390625,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,source,all,4,512,0.0,0.75390625,0.75390625,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,norm,none,0,512,0.0,0.734375,0.734375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,norm,all,0,512,0.0,0.734375,0.734375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,norm,none,4,512,0.0,0.734375,0.734375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,norm,all,4,512,0.0,0.734375,0.734375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,none,0,512,0.001953125,0.73828125,0.736328125,-0.001953125,0.001953125,-4.975853952560172e-05,-3.0470868175480614e-05,0.0057353973388671875
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,parameters,0,512,0.0,0.736328125,0.736328125,0.0,0.0,3.9438558449456096e-05,2.967160243522171e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,optimizer,0,512,0.001953125,0.73828125,0.736328125,-0.001953125,0.001953125,-9.56417951820665e-05,-6.201753014328792e-05,0.0057353973388671875
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_optimizer,0,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,aux,0,512,0.001953125,0.73828125,0.736328125,-0.001953125,0.001953125,-4.975853952560172e-05,-3.0470868175480614e-05,0.0057353973388671875
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_aux,0,512,0.0,0.736328125,0.736328125,0.0,0.0,3.9438558449456096e-05,2.967160243522171e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,optimizer_aux,0,512,0.001953125,0.73828125,0.736328125,-0.001953125,0.001953125,-9.56417951820665e-05,-6.201753014328792e-05,0.0057353973388671875
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_optimizer_aux,0,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,all,0,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,none,4,512,0.0,0.740234375,0.740234375,0.0,0.0,-3.618395152082954e-05,-2.077405519568254e-05,0.003780364990234375
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,parameters,4,512,0.0,0.736328125,0.736328125,0.0,0.0,2.424248787791239e-05,1.916995892764506e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,optimizer,4,512,0.0,0.740234375,0.740234375,0.0,0.0,-6.206332886538046e-05,-4.020945708416157e-05,0.003780364990234375
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_optimizer,4,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,aux,4,512,0.0,0.740234375,0.740234375,0.0,0.0,-3.618395152082954e-05,-2.077405519568254e-05,0.003780364990234375
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_aux,4,512,0.0,0.736328125,0.736328125,0.0,0.0,2.424248787791239e-05,1.916995892764506e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,optimizer_aux,4,512,0.0,0.740234375,0.740234375,0.0,0.0,-6.206332886538046e-05,-4.020945708416157e-05,0.003780364990234375
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,parameters_optimizer_aux,4,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,tent,all,4,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,none,0,512,0.0,0.734375,0.734375,0.0,0.0,0.00031622598659275525,8.114869666664415e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters,0,512,0.0,0.734375,0.734375,0.0,0.0,0.00031622598659275525,8.114869666664415e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,optimizer,0,512,0.0,0.734375,0.734375,0.0,0.0,0.00031622598659275525,8.114869666664415e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_optimizer,0,512,0.0,0.734375,0.734375,0.0,0.0,0.00031622598659275525,8.114869666664415e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,aux,0,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_aux,0,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,optimizer_aux,0,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_optimizer_aux,0,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,all,0,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,none,4,512,0.001953125,0.734375,0.736328125,0.001953125,0.001953125,-0.00017524030665272416,-2.96863344805276e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters,4,512,0.001953125,0.734375,0.736328125,0.001953125,0.001953125,-0.00017524030665272416,-2.96863344805276e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,optimizer,4,512,0.001953125,0.734375,0.736328125,0.001953125,0.001953125,-0.00017524030665272416,-2.96863344805276e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_optimizer,4,512,0.001953125,0.734375,0.736328125,0.001953125,0.001953125,-0.00017524030665272416,-2.96863344805276e-05,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,aux,4,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_aux,4,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,optimizer_aux,4,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,parameters_optimizer_aux,4,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,noise_brightness_to_blur,sar_complete,all,4,512,0.0,0.736328125,0.736328125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,source,none,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,source,all,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,source,none,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,source,all,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,norm,none,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,norm,all,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,norm,none,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,norm,all,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,none,0,512,0.0,0.982421875,0.982421875,0.0,0.0,3.859059597245695e-06,2.5926855812853644e-06,0.009547233581542969
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,parameters,0,512,0.0,0.982421875,0.982421875,0.0,0.0,-1.246868226944392e-05,-3.787206828240186e-06,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,optimizer,0,512,0.0,0.982421875,0.982421875,0.0,0.0,1.650522530852183e-05,6.5310444139835e-06,0.009547233581542969
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,parameters_optimizer,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,aux,0,512,0.0,0.982421875,0.982421875,0.0,0.0,3.859059597245695e-06,2.5926855812853644e-06,0.009547233581542969
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,parameters_aux,0,512,0.0,0.982421875,0.982421875,0.0,0.0,-1.246868226944392e-05,-3.787206828240186e-06,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,optimizer_aux,0,512,0.0,0.982421875,0.982421875,0.0,0.0,1.650522530852183e-05,6.5310444139835e-06,0.009547233581542969
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,parameters_optimizer_aux,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,all,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,none,4,512,0.0,0.982421875,0.982421875,0.0,0.0,2.2615809056880654e-06,1.6610163920752208e-06,0.006224155426025391
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,parameters,4,512,0.0,0.982421875,0.982421875,0.0,0.0,-8.142108028998118e-06,-2.465618647660983e-06,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,optimizer,4,512,0.0,0.982421875,0.982421875,0.0,0.0,1.0494653356382666e-05,4.197842575746208e-06,0.006224155426025391
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,parameters_optimizer,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,aux,4,512,0.0,0.982421875,0.982421875,0.0,0.0,2.2615809056880654e-06,1.6610163920752208e-06,0.006224155426025391
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,parameters_aux,4,512,0.0,0.982421875,0.982421875,0.0,0.0,-8.142108028998118e-06,-2.465618647660983e-06,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,optimizer_aux,4,512,0.0,0.982421875,0.982421875,0.0,0.0,1.0494653356382666e-05,4.197842575746208e-06,0.006224155426025391
