experiment_id,seed,panel_id,scenario,method,intervention,washout_batches,direction,n,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,prediction_file
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,source,none,0,ab,512,0.75390625,0.7397834825000255,0.357925374917637,0.07083422811046239,0.0648737000010442,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_source_w0_none_ab.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,source,none,0,ba,512,0.75390625,0.7397834825000255,0.357925374917637,0.07083422811046239,0.039864999998826534,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_source_w0_none_ba.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,source,all,0,ab,512,0.75390625,0.7397834825000255,0.357925374917637,0.07083422811046239,0.037687599993660115,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_source_w0_all_ab.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,source,all,0,ba,512,0.75390625,0.7397834825000255,0.357925374917637,0.07083422811046239,0.03456010000081733,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_source_w0_all_ba.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,source,none,4,ab,512,0.75390625,0.7397834825000255,0.357925374917637,0.07083422811046239,0.03811899998981971,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_source_w4_none_ab.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,source,none,4,ba,512,0.75390625,0.7397834825000255,0.357925374917637,0.07083422811046239,0.03611590000218712,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_source_w4_none_ba.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,source,all,4,ab,512,0.75390625,0.7397834825000255,0.357925374917637,0.07083422811046239,0.04059699999925215,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_source_w4_all_ab.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,source,all,4,ba,512,0.75390625,0.7397834825000255,0.357925374917637,0.07083422811046239,0.038729899999452755,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_source_w4_all_ba.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,norm,none,0,ab,512,0.734375,0.9610118482059603,0.40689097203931823,0.1526015961933057,0.054132699995534495,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_norm_w0_none_ab.npz
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,norm,none,0,ba,512,0.734375,0.9610118482059603,0.40689097203931823,0.1526015961933057,0.050021100003505126,0,0,0,predictions/17_uci_internal_fixed_noise_brightness_to_blur_norm_w0_none_ba.npz
