seed,epoch,train_loss,dev_accuracy,seconds
17,1,0.7938042124733329,0.9427083134651184,0.2918179999978747
17,2,0.0909719995688647,0.953125,0.29183580000244547
17,3,0.05205533606931567,0.9557291865348816,0.2591312000004109
17,4,0.05674387846374884,0.9453125,0.2528390999941621
17,5,0.03073612117441371,0.9609375,0.3042983999912394
17,6,0.016784071471192874,0.9713541865348816,0.3157402000069851
17,7,0.009174666141916532,0.9791666865348816,0.37108830000215676
17,8,0.004441216940904269,0.984375,0.3264936000050511
17,9,0.004208060006931191,0.9817708134651184,0.3246514000056777
17,10,0.004244605060193862,0.9791666865348816,0.2728900999936741
17,11,0.001964892857358791,0.9817708134651184,0.24349789999541827
17,12,0.0016243659665633459,0.9817708134651184,0.2496448000019882
29,1,0.7286669590976089,0.9505208134651184,0.4510584999952698
29,2,0.11736455681966618,0.9609375,0.34772910000174306
29,3,0.05228921285015531,0.9661458134651184,0.35697239999717567
29,4,0.04039051083964296,0.9765625,0.41022800000791904
29,5,0.029872897248424124,0.953125,0.3791055000037886
29,6,0.01778722977906,0.96875,0.37310929999512155
29,7,0.006043734214472352,0.9791666865348816,0.39698020000651013
29,8,0.006278152326558484,0.96875,0.3610403999919072
29,9,0.0032338904493371956,0.9765625,0.38215999999374617
29,10,0.0016625595517325564,0.9739583134651184,0.38733979999960866
29,11,0.001290874103688111,0.9765625,0.44082560000242665
29,12,0.001137687797381659,0.9765625,0.3666497999947751
43,1,0.761130356695503,0.9453125,0.3057624999928521
43,2,0.10069272690452635,0.96875,0.2625767999998061
43,3,0.04809053897042759,0.9609375,0.2758271000056993
43,4,0.0337622067600023,0.9635416865348816,0.3006292000063695
43,5,0.019389169799978845,0.9713541865348816,0.2596456999890506
43,6,0.01198810827190755,0.9765625,0.2656156999873929
43,7,0.010412596479000058,0.96875,0.26224029999866616
43,8,0.006842486734967679,0.9791666865348816,0.3003742000000784
43,9,0.01119036995442002,0.9765625,0.27742319999379106
43,10,0.004109224824787816,0.984375,0.3407541000051424
43,11,0.002090572624183551,0.984375,0.4720820999937132
43,12,0.0010333278987673111,0.9817708134651184,0.37807920000341255
