experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement_factorial,absolute_error_gap_factorial,nll_gap_factorial,brier_gap_factorial,n_scenarios
stage_a_uci_v1,tent,factorial:O,4,29,uci_internal_fixed,0.0,0.0,8.442117549955011e-06,-1.670000503833577e-06,2
stage_a_uci_v1,tent,factorial:O,4,43,uci_internal_fixed,0.0,0.0,7.224285018530755e-05,1.4710385286973576e-05,2
stage_a_uci_v1,tent,factorial:OE,0,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:OE,0,29,uci_internal_fixed,0.0,0.0,0.0,8.470329472543003e-22,2
stage_a_uci_v1,tent,factorial:OE,0,43,uci_internal_fixed,0.0,0.0,-4.235164736271502e-22,-3.3881317890172014e-21,2
stage_a_uci_v1,tent,factorial:OE,4,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:OE,4,29,uci_internal_fixed,0.0,0.0,0.0,-4.235164736271502e-22,2
stage_a_uci_v1,tent,factorial:OE,4,43,uci_internal_fixed,0.0,0.0,1.3552527156068805e-20,0.0,2
stage_a_uci_v1,tent,factorial:P,0,17,uci_internal_fixed,-0.0009765625,-0.0009765625,3.800148149547822e-05,2.73122659826203e-05,2
stage_a_uci_v1,tent,factorial:P,0,29,uci_internal_fixed,0.0,0.0,-3.4748346748393263e-05,3.850433647939293e-06,2
stage_a_uci_v1,tent,factorial:P,0,43,uci_internal_fixed,0.0,0.0,-0.00019169779531494623,-4.4922390067927964e-05,2
stage_a_uci_v1,tent,factorial:P,4,17,uci_internal_fixed,0.0,0.0,2.5397856493263385e-05,1.795724839800169e-05,2
stage_a_uci_v1,tent,factorial:P,4,29,uci_internal_fixed,0.0,0.0,-2.296750884349212e-05,2.332375342974438e-06,2
stage_a_uci_v1,tent,factorial:P,4,43,uci_internal_fixed,0.0,0.0,-0.0001265365438886873,-2.969322193215225e-05,2
stage_a_uci_v1,tent,factorial:PE,0,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:PE,0,29,uci_internal_fixed,0.0,0.0,0.0,-8.470329472543003e-22,2
stage_a_uci_v1,tent,factorial:PE,0,43,uci_internal_fixed,0.0,0.0,4.235164736271502e-22,3.3881317890172014e-21,2
stage_a_uci_v1,tent,factorial:PE,4,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:PE,4,29,uci_internal_fixed,0.0,0.0,0.0,4.235164736271502e-22,2
stage_a_uci_v1,tent,factorial:PE,4,43,uci_internal_fixed,0.0,0.0,-1.3552527156068805e-20,0.0,2
stage_a_uci_v1,tent,factorial:PO,0,17,uci_internal_fixed,0.0,0.0,3.1336068825882357e-06,8.619537640638247e-07,2
stage_a_uci_v1,tent,factorial:PO,0,29,uci_internal_fixed,0.0,0.0,-2.009576140406949e-06,-3.787544486186945e-07,2
stage_a_uci_v1,tent,factorial:PO,0,43,uci_internal_fixed,0.0,0.0,-1.3578267243578696e-06,-5.165964423445017e-07,2
stage_a_uci_v1,tent,factorial:PO,4,17,uci_internal_fixed,0.0,0.0,7.729625224710268e-07,9.71177124119843e-08,2
stage_a_uci_v1,tent,factorial:PO,4,29,uci_internal_fixed,0.0,0.0,-2.0186632425124584e-06,-6.561537040129786e-07,2
stage_a_uci_v1,tent,factorial:PO,4,43,uci_internal_fixed,0.0,0.0,-1.0235096770472914e-06,-4.3860135252177246e-07,2
stage_a_uci_v1,tent,factorial:POE,0,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:POE,0,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:POE,0,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:POE,4,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:POE,4,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,factorial:POE,4,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
