experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement_change,absolute_error_gap_change,nll_gap_change,brier_gap_change,n_scenarios
stage_a_uci_v1,sar_complete,parameters_optimizer,0,43,uci_internal_fixed,0.0,0.0,1.7096766298727029e-06,1.9043534972389145e-07,2
stage_a_uci_v1,sar_complete,parameters_optimizer,4,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,parameters_optimizer,4,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,parameters_optimizer,4,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,17,uci_internal_fixed,0.0,0.0,-0.0001579838026641614,-4.0590077020863716e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,29,uci_internal_fixed,0.0,0.0,4.829827729761066e-06,9.50108690903062e-07,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,43,uci_internal_fixed,0.0,0.0,1.7096766298727029e-06,1.9043534972389145e-07,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,17,uci_internal_fixed,-0.0009765625,-0.0009765625,8.762015332635e-05,1.48431672402638e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,source,all,0,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,source,all,0,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,source,all,0,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,source,all,4,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,source,all,4,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,source,all,4,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,all,0,17,uci_internal_fixed,-0.0009765625,-0.0009765625,2.2949739964178012e-05,1.3939091297097623e-05,2
stage_a_uci_v1,tent,all,0,29,uci_internal_fixed,0.0,0.0,-1.7799686981245094e-05,2.633228041880667e-06,2
stage_a_uci_v1,tent,all,0,43,uci_internal_fixed,0.0,0.0,-8.363321520383433e-05,-2.3278565454986494e-05,2
stage_a_uci_v1,tent,all,4,17,uci_internal_fixed,0.0,0.0,1.6961185307570736e-05,9.55651940180366e-06,2
stage_a_uci_v1,tent,all,4,29,uci_internal_fixed,0.0,0.0,-1.452539129353711e-05,6.623748391408613e-07,2
stage_a_uci_v1,tent,all,4,43,uci_internal_fixed,0.0,0.0,-5.429369370337976e-05,-1.4982836645178674e-05,2
stage_a_uci_v1,tent,aux,0,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,aux,0,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,aux,0,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,aux,4,17,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,aux,4,29,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,aux,4,43,uci_internal_fixed,0.0,0.0,0.0,0.0,2
stage_a_uci_v1,tent,optimizer,0,17,uci_internal_fixed,0.0,0.0,-1.6618544972594324e-05,-1.3804151567554587e-05,2
stage_a_uci_v1,tent,optimizer,0,29,uci_internal_fixed,0.0,0.0,1.7953447837351644e-05,-1.0278283817492778e-06,2
stage_a_uci_v1,tent,optimizer,0,43,uci_internal_fixed,0.0,0.0,0.00010874349347329081,2.1902122834113718e-05,2
stage_a_uci_v1,tent,optimizer,4,17,uci_internal_fixed,0.0,0.0,-8.823152446928162e-06,-8.449287852404022e-06,2
