experiment_id,method,intervention,washout_batches,direction,metric,n_panels,mean,sd,ci95_low,ci95_high,n_seeds_min,n_seeds_max,individual_panels,interval_type
stage_a_uci_v1,norm,all,0,ab,accuracy,1,0.861328125,,,,3,3,"{""uci_internal_fixed"": 0.861328125}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,nll,1,0.51379354555466,,,,3,3,"{""uci_internal_fixed"": 0.51379354555466}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,brier,1,0.21413016188688805,,,,3,3,"{""uci_internal_fixed"": 0.21413016188688805}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,ece15,1,0.07924768291116553,,,,3,3,"{""uci_internal_fixed"": 0.07924768291116553}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,seconds,1,0.031824149996585484,,,,3,3,"{""uci_internal_fixed"": 0.031824149996585484}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,updates,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,skipped,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ab,recoveries,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,accuracy,1,0.861328125,,,,3,3,"{""uci_internal_fixed"": 0.861328125}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,nll,1,0.51379354555466,,,,3,3,"{""uci_internal_fixed"": 0.51379354555466}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,brier,1,0.21413016188688805,,,,3,3,"{""uci_internal_fixed"": 0.21413016188688805}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,ece15,1,0.07924768291116553,,,,3,3,"{""uci_internal_fixed"": 0.07924768291116553}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,seconds,1,0.02951886666414788,,,,3,3,"{""uci_internal_fixed"": 0.02951886666414788}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,updates,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,skipped,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,0,ba,recoveries,1,0.0,,,,3,3,"{""uci_internal_fixed"": 0.0}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,4,ab,accuracy,1,0.861328125,,,,3,3,"{""uci_internal_fixed"": 0.861328125}",descriptive panel t interval; design-conditional
stage_a_uci_v1,norm,all,4,ab,nll,1,0.51379354555466,,,,3,3,"{""uci_internal_fixed"": 0.51379354555466}",descriptive panel t interval; design-conditional
