experiment_id,method,intervention,washout_batches,direction,seed,panel_id,accuracy_change,error_change,nll_change,brier_change,ece15_change,n_scenarios
stage_a_uci_v1,sar_complete,optimizer_aux,0,ab,43,uci_internal_fixed,0.0,0.0,-0.0008994909490302391,-0.0002968015220259027,5.718192353570094e-05,2
stage_a_uci_v1,sar_complete,optimizer_aux,0,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.000331265605024271,-0.00011261770737117788,-0.0009457931439275499,2
stage_a_uci_v1,sar_complete,optimizer_aux,0,ba,29,uci_internal_fixed,0.0,0.0,0.0009241076843417607,0.00013200140227438706,9.284489562069558e-05,2
stage_a_uci_v1,sar_complete,optimizer_aux,0,ba,43,uci_internal_fixed,0.0,0.0,-0.0008977812724003872,-0.0002966110866761528,5.554030812290108e-05,2
stage_a_uci_v1,sar_complete,optimizer_aux,4,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,optimizer_aux,4,ab,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,optimizer_aux,4,ab,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,optimizer_aux,4,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,optimizer_aux,4,ba,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,optimizer_aux,4,ba,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,parameters,0,ab,17,uci_internal_fixed,0.0,0.0,0.00016206607675123968,3.056426051166461e-05,4.0741334784918926e-06,2
stage_a_uci_v1,sar_complete,parameters,0,ab,29,uci_internal_fixed,0.0,0.0,0.00012076845887254439,1.4706192263680418e-05,8.874064398048387e-06,2
stage_a_uci_v1,sar_complete,parameters,0,ab,43,uci_internal_fixed,0.0,0.0,-1.2780413906066102e-06,-2.514116014540324e-06,5.5148208451261116e-08,2
stage_a_uci_v1,sar_complete,parameters,0,ba,17,uci_internal_fixed,0.0,0.0,3.9154563424639854e-06,-1.0036039359078222e-05,6.754996131688729e-06,2
stage_a_uci_v1,sar_complete,parameters,0,ba,29,uci_internal_fixed,0.0,0.0,0.00012571207348022195,1.5741710735789338e-05,8.444775564941942e-06,2
stage_a_uci_v1,sar_complete,parameters,0,ba,43,uci_internal_fixed,0.0,0.0,-1.2780413906066102e-06,-2.514116014540324e-06,5.5148208451261116e-08,2
stage_a_uci_v1,sar_complete,parameters,4,ab,17,uci_internal_fixed,0.0,0.0,-0.00026640578495978895,-7.936828208043867e-05,1.661330646599013e-05,2
stage_a_uci_v1,sar_complete,parameters,4,ab,29,uci_internal_fixed,0.0,0.0,0.0011254549838058958,0.00018729416102097884,9.605000126994279e-05,2
stage_a_uci_v1,sar_complete,parameters,4,ab,43,uci_internal_fixed,0.0,0.0,7.770384137656405e-05,1.653381399560616e-05,4.946396508005713e-06,2
stage_a_uci_v1,sar_complete,parameters,4,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.00017878563163342687,-6.452511484014711e-05,-0.0009539189918258556,2
stage_a_uci_v1,sar_complete,parameters,4,ba,29,uci_internal_fixed,0.0,0.0,0.0011254549838058958,0.00018729416102097884,9.605000126994279e-05,2
stage_a_uci_v1,sar_complete,parameters,4,ba,43,uci_internal_fixed,0.0,0.0,7.770384137656405e-05,1.653381399560616e-05,4.946396508005713e-06,2
stage_a_uci_v1,sar_complete,parameters_aux,0,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,parameters_aux,0,ab,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,parameters_aux,0,ab,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,parameters_aux,0,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
