experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy_change,error_change,nll_change,brier_change,ece15_change,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v1,source,all,0,ba,uci_internal_fixed,0.0,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,all,4,ab,uci_internal_fixed,0.0,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,all,4,ba,uci_internal_fixed,0.0,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,all,0,ab,uci_internal_fixed,-0.0003255208333333333,0.0003255208333333333,0.00021501596208271107,7.387288957783934e-05,-0.0003467317918173692,3,2,2
stage_a_uci_v1,tent,all,0,ba,uci_internal_fixed,0.0,0.0,0.00024117701615631917,7.610830494984382e-05,-0.000497989544827985,3,2,2
stage_a_uci_v1,tent,all,4,ab,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,-0.00026948684269213183,1.9391909065763605e-05,-0.00019683447095293597,3,2,2
stage_a_uci_v1,tent,all,4,ba,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,-0.0002522008761289829,2.0979889867147813e-05,-0.00018842350671653715,3,2,2
stage_a_uci_v1,tent,aux,0,ab,uci_internal_fixed,0.0,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,aux,0,ba,uci_internal_fixed,0.0,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,aux,4,ab,uci_internal_fixed,0.0,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,aux,4,ba,uci_internal_fixed,0.0,0.0,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,optimizer,0,ab,uci_internal_fixed,0.0,0.0,9.00478274553744e-05,2.0065923198656077e-05,-0.0002294429430946991,3,2,2
stage_a_uci_v1,tent,optimizer,0,ba,uci_internal_fixed,0.0,0.0,5.3355028675986654e-05,1.77092089037479e-05,-0.00024094578572173646,3,2,2
stage_a_uci_v1,tent,optimizer,4,ab,uci_internal_fixed,0.0,0.0,-0.000359117666994165,-4.6524994241538393e-05,-0.0002105132683454678,3,2,2
stage_a_uci_v1,tent,optimizer,4,ba,uci_internal_fixed,0.0,0.0,-0.0003835786342435016,-4.823781906123451e-05,1.695422320112672e-06,3,2,2
stage_a_uci_v1,tent,optimizer_aux,0,ab,uci_internal_fixed,0.0,0.0,9.00478274553744e-05,2.0065923198656077e-05,-0.0002294429430946991,3,2,2
stage_a_uci_v1,tent,optimizer_aux,0,ba,uci_internal_fixed,0.0,0.0,5.3355028675986654e-05,1.77092089037479e-05,-0.00024094578572173646,3,2,2
stage_a_uci_v1,tent,optimizer_aux,4,ab,uci_internal_fixed,0.0,0.0,-0.000359117666994165,-4.6524994241538393e-05,-0.0002105132683454678,3,2,2
stage_a_uci_v1,tent,optimizer_aux,4,ba,uci_internal_fixed,0.0,0.0,-0.0003835786342435016,-4.823781906123451e-05,1.695422320112672e-06,3,2,2
stage_a_uci_v1,tent,parameters,0,ab,uci_internal_fixed,-0.0003255208333333333,0.0003255208333333333,0.00012424046499310074,5.335313796598606e-05,-0.00033395307627385237,3,2,2
stage_a_uci_v1,tent,parameters,0,ba,uci_internal_fixed,0.0,0.0,0.00018701638585204988,5.793413525729922e-05,-0.00047417702671551505,3,2,2
stage_a_uci_v1,tent,parameters,4,ab,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,8.681170328410832e-05,6.481721346708602e-05,-0.00014302645835138558,3,2,2
stage_a_uci_v1,tent,parameters,4,ba,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,0.00012780223363093499,6.778547330679036e-05,-0.0003009743947377568,3,2,2
stage_a_uci_v1,tent,parameters_aux,0,ab,uci_internal_fixed,-0.0003255208333333333,0.0003255208333333333,0.00012424046499310074,5.335313796598606e-05,-0.00033395307627385237,3,2,2
stage_a_uci_v1,tent,parameters_aux,0,ba,uci_internal_fixed,0.0,0.0,0.00018701638585204988,5.793413525729922e-05,-0.00047417702671551505,3,2,2
stage_a_uci_v1,tent,parameters_aux,4,ab,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,8.681170328410832e-05,6.481721346708602e-05,-0.00014302645835138558,3,2,2
stage_a_uci_v1,tent,parameters_aux,4,ba,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,0.00012780223363093499,6.778547330679036e-05,-0.0003009743947377568,3,2,2
stage_a_uci_v1,tent,parameters_optimizer,0,ab,uci_internal_fixed,-0.0003255208333333333,0.0003255208333333333,0.00021501596208271107,7.387288957783934e-05,-0.0003467317918173692,3,2,2
stage_a_uci_v1,tent,parameters_optimizer,0,ba,uci_internal_fixed,0.0,0.0,0.00024117701615631917,7.610830494984382e-05,-0.000497989544827985,3,2,2
stage_a_uci_v1,tent,parameters_optimizer,4,ab,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,-0.00026948684269213183,1.9391909065763605e-05,-0.00019683447095293597,3,2,2
stage_a_uci_v1,tent,parameters_optimizer,4,ba,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,-0.0002522008761289829,2.0979889867147813e-05,-0.00018842350671653715,3,2,2
stage_a_uci_v1,tent,parameters_optimizer_aux,0,ab,uci_internal_fixed,-0.0003255208333333333,0.0003255208333333333,0.00021501596208271107,7.387288957783934e-05,-0.0003467317918173692,3,2,2
stage_a_uci_v1,tent,parameters_optimizer_aux,0,ba,uci_internal_fixed,0.0,0.0,0.00024117701615631917,7.610830494984382e-05,-0.000497989544827985,3,2,2
stage_a_uci_v1,tent,parameters_optimizer_aux,4,ab,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,-0.00026948684269213183,1.9391909065763605e-05,-0.00019683447095293597,3,2,2
stage_a_uci_v1,tent,parameters_optimizer_aux,4,ba,uci_internal_fixed,-0.0006510416666666666,0.0006510416666666666,-0.0002522008761289829,2.0979889867147813e-05,-0.00018842350671653715,3,2,2
